"name","name_full","echantillon","Long_epsg2946","Lat_epsg2946"
"RfO-50","Site référence ouest-50","Stations non-échantillonnées",278555.6904602,5233291.48615409
"RfL-01","Site référence large-1","Stations faites",279326.185106569,5233262.82445621
"RfL-02","Site référence large-2","Stations faites",279365.334610847,5233290.18218354
"RfL-03","Site référence large-3","Stations faites",279273.351655718,5233229.40464636
"RfL-04","Site référence large-4","Stations non-échantillonnées",279214.420979831,5233224.44537814
"RfL-05","Site référence large-5","Stations impossibles",279037.55251708,5233218.07341818
"RfL-06","Site référence large-6","Stations non-échantillonnées",279003.196222507,5233259.53660799
"RfL-07","Site référence large-7","Stations faites",279154.276865015,5233224.03224378
"RfL-08","Site référence large-8","Stations faites",279026.379207691,5233243.17310725
"RfL-09","Site référence large-9","Stations faites",279075.133884557,5233231.75487109
"RfL-10","Site référence large-10","Stations non-échantillonnées",278993.052951255,5233259.91279273
"RfL-11","Site référence large-11","Stations faites",279149.592737274,5233227.21481265
"RfL-12","Site référence large-12","Stations faites",279055.862560125,5233242.65479698
"RfL-13","Site référence large-13","Stations faites",279317.760510956,5233245.97002889
"RfL-14","Site référence large-14","Stations faites",279097.643573444,5233235.97346097
"RfL-15","Site référence large-15","Stations faites",279315.187075729,5233256.16151901
"RfL-16","Site référence large-16","Stations impossibles",279327.74214253,5233247.71170762
"RfL-17","Site référence large-17","Stations faites",279376.618877279,5233325.06315376
"RfL-18","Site référence large-18","Stations faites",279328.033128995,5233242.16974458
"RfL-19","Site référence large-19","Stations faites",278970.997210437,5233270.00896559
"RfL-20","Site référence large-20","Stations faites",279072.843910652,5233216.74533956
"RfL-21","Site référence large-21","Stations faites",279356.117631383,5233260.32701655
"RfL-22","Site référence large-22","Stations faites",279379.206155169,5233289.14773442
"RfL-23","Site référence large-23","Stations faites",279066.093826998,5233217.06672186
"RfL-24","Site référence large-24","Stations faites",279385.776013666,5233304.24411897
"RfL-25","Site référence large-25","Stations faites",279124.950960129,5233225.83217172
"RfL-26","Site référence large-26","Stations faites",279295.612647813,5233261.53266869
"RfL-27","Site référence large-27","Stations faites",279298.515625346,5233245.03961816
"RfL-28","Site référence large-28","Stations impossibles",279121.354500869,5233225.34368396
"RfL-29","Site référence large-29","Stations faites",279131.418757962,5233215.97699083
"RfL-30","Site référence large-30","Stations faites",279173.921854937,5233241.49540745
"RfL-31","Site référence large-31","Stations faites",279171.144938555,5233231.81421097
"RfL-32","Site référence large-32","Stations faites",279039.646789151,5233221.79511716
"RfL-33","Site référence large-33","Stations faites",279058.297307321,5233218.32376083
"RfL-34","Site référence large-34","Stations non-échantillonnées",279298.908121682,5233254.91045074
"RfL-35","Site référence large-35","Stations non-échantillonnées",279248.154313743,5233246.12530965
"RfL-36","Site référence large-36","Stations non-échantillonnées",279079.483411014,5233217.16546503
"RfL-37","Site référence large-37","Stations non-échantillonnées",279100.446868164,5233228.17778442
